postal_code,avg_m2_price_2019
00100,7336
00120,7726
00130,8193
00140,8525
00150,8013
00160,6556
00170,7390
00180,7066
00190,
00200,6102
00210,5976
00220,
00240,5063
00250,6629
00260,6818
00270,6490
00280,5600
00290,
00300,5677
00310,4377
00320,5100
00330,5825
00340,4607
00350,4750
00360,4501
00370,3239
00380,5047
00390,3283
00400,4189
00410,2739
00420,3398
00430,3649
00440,3756
00500,6314
00510,6178
00520,5261
00530,6323
00540,6916
00550,5837
00560,5782
00570,5471
00580,6101
00590,
00600,3178
00610,5423
00620,3964
00630,3618
00640,3559
00650,3847
00660,3860
00670,3693
00680,3442
00690,3257
00700,3191
00710,2756
00720,3237
00730,3412
00740,2655
00750,2872
00760,2899
00770,2073
00780,3263
00790,4563
00800,4878
00810,5168
00820,3632
00830,3921
00840,3587
00850,4228
00870,2907
00890,
00900,3113
00910,3435
00920,2993
00930,3162
00940,2363
00950,3411
00960,2978
00970,2495
00980,3286
00990,4725
01120,
01150,2493
01200,2123
01230,2902
01260,2690
01280,2498
01300,3328
01340,4089
01350,2850
01360,2057
01370,3268
01380,3257
01390,3145
01400,2956
01420,
01450,2635
01480,2141
01490,3174
01510,3937
01520,3996
01530,
01600,2544
01610,2984
01620,2275
01630,2853
01640,3150
01650,2104
01660,2695
01670,3026
01680,
01690,3401
01700,3702
01710,2539
01720,
01730,2451
01750,
01760,
01800,2268
01820,2148
01830,
01840,2321
01860,
01900,1944
01940,
02100,4929
02110,5214
02120,4786
02130,4138
02140,3024
02150,4592
02160,4650
02170,4431
02180,3789
02200,4302
02210,3153
02230,3883
02240,3657
02250,
02260,3131
02270,3375
02280,3550
02300,3266
02320,3113
02330,3801
02340,3107
02360,2889
02380,
02390,
02400,2343
02410,1450
02420,1710
02430,2261
02440,
02450,3271
02460,2077
02480,2457
02490,
02510,
02520,
02540,
02550,
02570,1184
02580,1653
02600,3713
02610,3861
02620,2801
02630,3416
02650,3778
02660,3745
02680,4028
02700,3801
02710,2678
02720,3045
02730,3093
02740,3414
02750,3651
02760,2729
02770,2876
02780,2967
02810,3047
02820,
02860,
02880,2439
02920,2928
02940,3023
02970,2905
02980,
03100,2014
03150,
03250,1713
03300,
03320,
03400,1613
03600,1335
03620,
03810,
03850,1236
04130,2004
04200,2206
04220,2535
04230,2185
04240,
04250,2478
04260,2142
04300,2352
04310,2472
04320,2134
04330,2263
04340,2122
04350,
04360,
04390,
04400,2499
04410,2429
04420,2562
04430,2748
04440,1767
04460,2219
04480,
04500,1733
04600,1690
04620,2156
04660,
04680,
04840,
04920,
05100,1841
05200,1761
05400,2030
05430,
05440,
05450,
05460,1759
05510,
05620,
05720,
05800,2061
05810,2457
05820,1900
05830,1989
05840,1691
05860,1281
05880,1182
05900,1678
06100,2794
06150,2027
06200,
06400,2202
06450,1730
06500,
06530,
06650,1820
06750,
06830,
06880,
06950,
07110,
07150,
07170,1749
07190,
07230,
07280,
07500,
07510,
07550,
07560,
07590,
07600,
07700,1939
07750,
07800,
07820,
07830,
07870,
07880,
07890,
07900,1491
07910,
07920,1250
07930,
07940,
07955,
07970,
07990,
08100,2224
08150,2232
08200,1286
08350,1357
08450,
08500,1796
08680,1561
08700,1514
08800,1250
09120,
09220,1239
09430,1680
09630,
09810,
10140,
10210,1667
10300,1201
10320,1464
10330,
10360,
10410,
10420,869
10440,
10470,
10520,
10570,
10600,1948
10620,960
10640,1556
10650,1391
10660,651
10680,
10710,
10820,
10900,1505
10940,
10960,1205
11100,1493
11120,1345
11130,1318
11310,
11710,1638
11910,1903
12100,1060
12130,
12240,
12310,1161
12380,
12400,1012
12520,
12540,884
12600,
12700,1089
13100,2058
13110,
13130,1821
13200,2232
13210,1651
13220,2479
13250,1201
13270,2147
13300,1904
13330,
13430,
13500,1585
13600,1260
13700,
13720,1582
13800,1307
13880,1656
13900,
14200,1331
14300,
14500,1137
14610,
14680,
14700,817
14770,
14820,
14870,
14960,
15100,2180
15110,2580
15140,2430
15150,1657
15160,2320
15170,1243
15200,1311
15210,1649
15230,2050
15240,1124
15270,
15300,1483
15320,1800
15340,
15500,1043
15520,1437
15540,
15550,
15560,
15610,1992
15680,2185
15700,1698
15800,1485
15810,1513
15830,1025
15840,1258
15850,
15860,1161
15870,1197
15880,1374
15900,2361
15950,1527
15980,
16100,
16200,
16260,
16300,1170
16320,
16500,
16600,799
16610,
16670,
16710,
16800,
16900,849
17110,
17130,
17200,1255
17240,
17500,
17800,846
18100,1214
18120,
18130,812
18150,945
18200,555
18300,756
18600,
19110,
19120,
19160,
19210,
19260,
19410,
19420,
19430,
19470,
19540,
19600,560
19650,617
19670,
19700,793
19910,
19950,
20100,3504
20200,2343
20210,1144
20240,1190
20250,
20300,2551
20320,1850
20360,1340
20380,1881
20400,
20460,1244
20500,3535
20520,3427
20540,2105
20610,1273
20660,2406
20700,3287
20720,2438
20730,
20740,1871
20750,1213
20760,1861
20780,1992
20810,3294
20880,1881
20900,2692
20960,
21100,2200
21110,1902
21120,1178
21130,
21140,1043
21150,
21160,2120
21195,
21200,1631
21210,1658
21220,1433
21230,
21240,
21250,1730
21260,1527
21270,1625
21280,2311
21290,2158
21310,
21330,
21350,
21360,
21370,
21380,1297
21410,2641
21420,1880
21430,
21450,
21490,
21500,1695
21530,1258
21540,
21560,
21570,1149
21590,
21600,1400
21610,
21620,2184
21650,
21660,1258
21710,
21740,
21750,
21760,
21770,
21800,898
21820,
21860,
21870,943
21880,
21900,
21930,
23100,1360
23120,
23140,
23200,977
23260,
23310,
23360,
23450,
23500,1231
23600,957
23800,1147
23930,
23950,
24100,1421
24130,1144
24240,1328
24260,1006
24280,1352
24800,1156
24910,
25110,
25130,1127
25160,
25190,
25210,
25230,
25240,
25250,857
25260,
25320,
25330,
25340,
25360,1221
25370,
25380,
25390,
25410,914
25460,828
25470,
25500,848
25520,
25550,
25570,
25630,
25640,
25650,
25660,
25700,1036
25760,
25830,
25860,
25870,
25900,777
25960,
26100,1571
26200,1336
26410,
26510,1008
26660,1049
26720,
26820,886
26840,
27100,1335
27150,
27230,896
27310,
27320,
27400,
27430,
27450,
27500,1112
27510,1074
27600,
27640,
27650,
27670,
27710,
27730,
27750,
27800,1136
27820,585
27840,
27860,
27910,
27920,
28100,1925
28120,1250
28130,1552
28190,892
28200,1268
28220,1620
28240,
28260,
28300,1797
28330,838
28360,1295
28370,692
28400,1237
28430,1330
28450,1053
28500,1150
28540,
28600,1633
28610,1388
28660,1430
28760,1105
28800,682
28840,
28880,591
28900,
29100,
29200,669
29250,818
29310,
29340,
29600,996
29630,
29640,
29680,
29700,
29810,
29880,
29900,
30100,1150
30300,674
30420,1131
31130,
31160,
31300,1145
31380,
31400,1053
31470,
31500,921
31600,1036
31610,
31620,
31630,
31640,878
31700,
31720,
31760,820
31900,750
32100,
32200,1064
32210,692
32250,
32270,
32300,
32410,
32440,
32500,
32560,
32610,
32620,
32700,971
32730,
32740,695
32800,830
32810,
32910,
32920,
33100,3873
33180,4174
33200,3690
33210,3733
33230,3430
33240,3068
33250,3253
33270,2629
33300,2232
33310,1659
33330,1808
33340,2063
33400,2564
33410,1727
33420,1934
33430,1956
33450,2019
33470,1852
33480,2121
33500,3419
33520,2381
33530,2763
33540,3264
33560,2322
33580,2405
33610,2239
33680,
33700,2813
33710,2186
33720,1840
33730,2342
33800,2361
33820,2353
33840,1692
33850,1318
33870,3293
33880,1666
33900,2573
33920,
33950,2349
33960,2442
33980,
34110,
34130,989
34240,
34260,
34300,863
34450,
34600,823
34800,795
34870,
34980,
35100,1153
35220,
35300,1259
35320,
35400,
35420,
35500,
35530,
35540,
35600,
35630,
35700,854
35800,620
35820,
35990,
36100,
36110,1905
36200,1903
36220,1629
36240,2018
36270,1832
36280,
36420,
36430,
36450,
36600,1401
36720,
36760,1193
36810,
36840,
36910,
36930,
37100,1694
37120,1781
37130,1856
37140,2071
37150,1701
37200,866
37240,792
37370,
37380,
37420,
37470,
37500,1920
37550,1966
37560,2349
37570,
37600,1208
37630,1207
37700,
37800,1135
37830,1014
37860,
37900,
37910,798
37960,
38100,
38200,1549
38210,929
38250,
38270,
38300,
38360,
38420,
38460,
38510,
38600,
38700,1130
38710,772
38800,
38840,
38950,
39100,1356
39130,
39150,
39160,2122
39200,932
39310,
39340,
39500,928
39580,
39700,940
39820,
39930,
40100,2773
40200,2517
40250,1914
40270,1941
40320,1698
40340,1004
40400,1502
40420,1577
40500,2114
40520,2207
40530,2078
40600,2105
40620,
40630,1542
40640,1016
40700,2601
40720,2331
40740,1657
40800,1449
40820,768
40900,1213
40930,
40950,1496
41120,
41140,
41160,903
41180,
41210,
41230,
41270,
41290,
41310,1803
41330,1075
41340,1503
41350,
41390,
41400,747
41440,
41490,
41500,
41520,937
41530,
41560,
41580,
41660,
41710,
41770,
41800,1045
41870,
41900,1018
41930,
42100,1020
42220,
42300,559
42440,
42600,616
42700,772
42720,
42800,
42850,
42910,
43100,852
43220,
43270,
43300,
43440,
43500,694
43700,
43800,
43900,
44100,1147
44120,1198
44150,912
44160,
44200,639
44220,
44260,
44280,
44300,
44400,
44420,
44500,890
44670,
44800,894
44880,
44920,
44950,
45100,1370
45120,1418
45130,1179
45150,979
45160,986
45200,981
45360,1191
45370,1367
45410,
45460,
45610,1038
45700,962
45720,1087
45740,904
45810,
45910,652
46110,
46140,
46400,
46710,
46800,716
46810,
46860,
46900,717
46910,
47200,
47400,1017
47710,
47760,
47900,
48100,1510
48130,1100
48200,861
48210,
48220,655
48230,
48300,
48310,1712
48350,521
48400,1061
48410,892
48600,1077
48700,877
48710,1362
48720,
48750,
48770,896
48800,1358
48810,
48900,790
48910,1173
48930,
49210,1138
49220,
49270,
49290,
49400,1239
49410,957
49420,792
49460,672
49490,
49510,542
49570,
49700,
49730,
49760,
49860,
49900,
49980,
50100,1933
50120,1236
50130,1864
50150,
50160,811
50170,1537
50180,
50190,1197
50500,1156
50520,
50600,1673
50670,1055
50700,
50970,2258
51200,691
51600,
51900,818
52100,
52200,
52230,
52300,928
52320,
52420,
52510,
52550,583
52610,
52700,760
52720,
52830,
53100,2239
53130,
53200,1489
53300,1262
53400,
53420,
53500,1725
53550,2238
53600,2185
53650,
53810,1289
53830,
53850,1418
53900,2444
53920,1150
53950,1169
54100,1013
54110,1396
54120,
54190,
54230,
54270,
54330,
54410,
54430,
54500,823
54530,
54710,
54770,
54800,861
54850,
54915,1466
54920,
54950,
54960,
55100,1177
55120,891
55300,882
55320,
55330,
55400,
55420,
55510,447
55610,558
55700,637
55800,555
55910,
56100,1168
56120,
56610,
56710,
56730,
56800,
57100,1539
57120,
57130,1376
57170,957
57200,849
57210,866
57220,709
57230,635
57510,
57600,
57710,934
58175,
58200,870
58220,
58300,
58410,
58450,
58500,690
58550,
58620,
58700,
58770,
58810,
58900,540
58910,
59100,586
59310,
59510,
59720,
59730,
59800,
60100,1847
60120,1643
60150,1217
60200,2006
60220,1488
60320,1923
60420,
60510,1855
60550,1463
60560,
60640,
60720,1541
60760,
60800,1452
61100,975
61270,
61280,
61300,1147
61310,
61330,
61360,
61400,1062
61470,
61500,851
61520,
61550,
61600,
61720,
61800,1118
61840,
61850,
61980,
62100,1257
62190,
62200,835
62300,1030
62370,
62375,862
62420,
62500,
62510,
62600,
62660,
62800,
62830,
62900,1026
63100,
63130,
63300,1040
63350,
63400,
63410,
63500,
63510,
63600,
63610,
63680,
63700,915
63780,
63800,
63900,
63910,
63920,
64100,845
64140,
64200,1205
64220,
64230,
64240,
64250,
64260,906
64300,
64350,
64370,
64460,
64490,
64510,
64530,
64550,
64610,
64700,
64740,
64760,
64770,
64810,
64820,
64900,
65100,2380
65170,
65200,1826
65230,1521
65280,1779
65300,1899
65320,1248
65350,1348
65370,793
65380,1282
65410,
65450,
65460,
65480,
65520,1777
65610,1611
65630,1609
65650,
65710,
65730,
65800,
66100,1292
66140,
66160,
66200,
66210,
66230,
66240,
66270,
66280,
66295,
66300,
66320,
66360,
66400,1337
66420,
66430,
66440,
66500,
66510,
66530,1567
66550,
66580,
66600,894
66640,
66800,
66830,
66840,
66850,
66900,1170
67100,1811
67200,1629
67300,1985
67400,1913
67600,
67700,2385
67800,962
67900,
68100,979
68210,
68230,
68300,971
68320,
68370,
68380,
68410,
68500,
68555,
68560,
68570,1441
68580,
68600,1358
68620,1267
68630,1171
68660,1001
68700,
68800,
68810,
68820,
68870,665
68910,
68930,
68940,
69100,879
69150,
69300,
69310,
69410,
69440,
69510,
69600,916
69700,
69730,
69750,
69820,
69850,
69950,
69980,
70100,2718
70110,2746
70150,1586
70200,1503
70260,1763
70280,1486
70300,2581
70340,1753
70400,
70420,1356
70460,1117
70500,1278
70600,2403
70620,1846
70700,1836
70780,1510
70800,1933
70820,1774
70840,2529
70870,
70900,1983
70910,1625
71160,1226
71200,518
71210,
71240,
71280,
71310,
71470,
71480,
71570,
71730,
71750,
71760,
71775,
71800,1472
71840,
71850,1369
71870,907
71910,
71960,
72100,
72210,
72300,
72360,
72400,580
72550,
72600,451
72950,
73100,788
73200,502
73230,
73250,
73300,888
73310,
73460,
73500,
73600,544
73670,
73770,
73850,
73900,
74100,1415
74120,1053
74130,1327
74200,
74250,
74300,576
74340,
74510,
74550,
74700,630
75500,696
75530,1079
75680,
75700,
76100,661
76120,578
76130,
76150,643
76280,
76850,
76940,
77240,
77330,
77570,
77580,
77600,859
77700,655
77800,
78200,668
78210,726
78250,601
78300,439
78310,1031
78400,702
78500,647
78710,
78850,735
78870,854
78880,482
79100,754
79130,
79255,
79480,
79520,
79600,664
79700,
79810,
79940,
80100,2047
80110,2082
80130,
80140,1704
80160,1340
80170,1470
80200,1923
80220,2490
80230,1877
80260,1517
80330,1697
80400,1415
80510,
80710,2044
80770,
80780,
80790,
80850,
80910,
81100,1138
81160,
81200,874
81210,
81220,
81230,
81235,
81280,
81290,
81390,
81590,
81650,
81700,670
81720,493
81750,
81970,
82110,
82120,
82140,
82200,829
82220,1657
82290,
82300,
82350,
82430,
82490,
82500,693
82600,
82655,
82710,
82730,
82750,
82760,
82900,612
83100,678
83130,
83330,
83400,
83430,
83500,625
83700,683
83720,
83750,
83870,
83900,568
83940,
83950,
83960,
84100,1376
84880,
85100,1365
85140,
85160,
85200,
85230,
85310,
85320,
85410,
85430,
85500,1133
85560,
85580,
85630,
85640,
85660,
85800,951
85820,
85900,
85980,
86100,
86170,
86220,
86300,847
86400,797
86440,
86600,951
86710,
86800,737
86900,
87100,1413
87150,1274
87200,1480
87250,1225
87300,1108
87400,1032
87500,1034
87700,1262
87830,
87900,
88200,
88270,
88300,
88400,
88470,
88600,1301
88610,1389
88620,
88900,795
89140,
89200,450
89400,
89600,694
89800,
90100,2592
90120,2408
90130,2276
90140,2266
90150,1533
90220,
90230,2288
90240,1544
90250,1519
90310,1668
90400,3223
90410,1851
90420,2020
90440,1712
90450,1719
90460,1503
90480,
90500,1782
90510,2637
90520,2065
90530,2037
90540,1827
90550,1411
90560,1171
90570,1529
90580,1161
90620,
90630,1909
90650,1665
90670,2171
90800,1445
90810,1259
90820,
90830,1419
90840,1258
90850,
90900,1118
90910,
90940,1327
91100,1087
91200,
91260,
91300,
91310,
91410,
91430,
91500,1068
91600,923
91670,
91700,
91710,
91760,
91780,
91800,1009
91900,1384
91910,1455
91950,
91980,827
92100,1251
92120,
92130,995
92140,1392
92150,
92160,
92320,
92350,
92400,
92430,
92450,
92500,
92600,
92620,
92640,
92650,
92700,
92930,
93100,742
93280,
93400,993
93600,1248
93700,
93830,
93900,
93999,
94100,976
94200,519
94300,
94400,667
94430,
94450,869
94500,
94600,1100
94700,594
94720,879
94830,447
95100,
95200,
95230,
95300,
95400,1549
95410,1054
95420,1285
95430,1003
95450,1486
95600,
95675,
95700,
95780,
95800,
95900,1893
95930,
95970,1946
95980,
96100,1879
96190,1730
96200,1867
96300,1961
96320,
96400,1597
96440,714
96460,1797
96500,899
96600,
96800,1783
96900,1902
96910,1348
96960,
97110,
97130,
97140,
97160,
97280,
97340,
97390,
97615,
97635,
97655,
97700,529
97900,446
98100,821
98120,
98230,
98310,
98350,
98400,
98440,
98450,
98500,
98530,
98600,
98720,
98800,
98900,590
99100,
99130,2184
99300,
99400,
99440,
99450,
99490,
99555,
99600,934
99620,
99660,
99710,
99800,1267
99830,1521
99870,
99930,
99950,
99980,
